8/2_rnase1 (Time),8/2_rnase1 (Lp/Rp),8/2_rnase2 (Time),8/2_rnase2 (Lp/Rp),8/9_rnase1-1 (Time),8/9_rnase1 (Lp/Rp),8/9_rnase1-2 (Time),8/9_rnase1-2 (Lp/Rp),3/16_rnase1-2 (Time),3/16_rnase1-2 (Lp/Rp),3/17_rnase1-1 (Time),3/17_rnase1-1 (Lp/Rp),3/17_rnase1-2(Time),3/17_rnase1-2 (Lp/Rp),3/17_rnase1-3 (Time),3/17_rnase1-3 (Lp/Rp),3/17_rnase1-4 (Time),3/17_rnase1-4 (Lp/Rp)
0,1.060578944,0,3.579453934,0,2.518874991,0,1.060578944,0,1.325723679,0,3.181736831,0,3.480024658,0,3.811455578,0,4.805748338
2,1.325723679,2,3.579453934,2,2.518874991,2,1.060578944,2,1.491439139,2,3.380595383,2,3.480024658,2,4.308601958,2,4.640032878
4,1.590868415,4,3.84459867,4,2.784019727,4,1.325723679,4,2.320016439,4,3.380595383,4,4.142886498,4,4.805748338,4,5.800041097
6,1.590868415,6,3.84459867,6,2.784019727,6,1.325723679,6,2.651447359,6,3.977171038,6,4.805748338,6,4.971463798,6,5.965756557
8,1.723440783,8,3.84459867,8,2.916592095,8,1.325723679,8,2.817162819,8,3.778312486,8,5.137179258,8,6.628618397,8,5.800041097
10,1.723440783,10,3.977171038,10,2.784019727,10,1.458296047,10,2.817162819,10,4.573746694,10,5.302894718,10,5.965756557,10,5.634325638
12,1.856013151,12,3.977171038,12,2.916592095,12,1.590868415,12,2.817162819,12,NaN,12,5.800041097,12,6.628618397,12,6.462902937
14,1.856013151,14,3.977171038,14,2.916592095,14,1.458296047,14,2.817162819,14,NaN,14,5.800041097,14,6.960049317,14,7.125764777
16,1.856013151,16,3.977171038,16,3.049164463,16,1.458296047,16,2.817162819,16,NaN,16,6.131472017,16,7.457195697,16,6.960049317
18,1.856013151,18,3.977171038,18,3.049164463,18,1.458296047,18,2.982878279,18,5.568039454,18,6.297187477,18,7.457195697,18,7.291480237
20,1.856013151,20,3.977171038,20,3.049164463,20,1.458296047,20,2.982878279,20,5.965756557,20,6.462902937,20,7.125764777,20,7.788626617
22,1.988585519,22,4.109743406,22,3.049164463,22,1.458296047,22,3.148593739,22,6.363473661,22,6.628618397,22,7.788626617,22,7.622911157
24,1.856013151,24,3.977171038,24,2.784019727,24,1.458296047,24,2.982878279,24,6.562332213,24,6.960049317,24,7.954342076,24,8.285772996
26,1.988585519,26,3.977171038,26,2.916592095,26,1.590868415,26,3.148593739,26,6.761190765,26,7.457195697,26,7.622911157,26,8.285772996
28,1.988585519,28,3.84459867,28,2.784019727,28,1.590868415,28,3.314309199,28,7.357766421,28,7.954342076,28,7.954342076,28,8.617203916
30,1.856013151,30,3.977171038,30,3.181736831,30,1.590868415,30,2.982878279,30,7.954342076,30,8.285772996,30,8.617203916,30,8.617203916
32,1.856013151,32,3.84459867,32,2.916592095,32,1.723440783,32,3.480024658,32,8.153200628,32,8.782919376,32,9.777212136,32,9.445781216
34,1.988585519,34,3.977171038,34,3.049164463,34,1.723440783,34,3.314309199,34,8.550917732,34,9.114350296,34,8.782919376,34,8.948634836
36,1.988585519,36,3.84459867,36,2.916592095,36,1.458296047,36,3.314309199,36,9.147493388,36,9.777212136,36,9.777212136,36,9.114350296
38,1.988585519,38,3.977171038,38,2.916592095,38,1.723440783,38,3.480024658,38,9.147493388,38,9.942927596,38,9.280065756,38,9.445781216
40,1.988585519,40,3.977171038,40,2.916592095,40,1.590868415,40,3.480024658,40,9.545210492,40,10.10864306,40,10.10864306,40,9.445781216
42,1.988585519,42,3.977171038,42,3.049164463,42,1.723440783,42,3.314309199,42,9.942927596,42,10.27435852,42,9.777212136,42,9.777212136
44,2.121157887,44,3.977171038,44,3.049164463,44,1.723440783,44,2.982878279,44,10.14178615,44,10.7715049,44,10.10864306,44,10.27435852
46,1.988585519,46,3.84459867,46,3.181736831,46,1.723440783,46,3.314309199,46,10.93722036,46,11.10293582,46,10.44007398,46,10.27435852
48,1.988585519,48,3.977171038,48,3.049164463,48,1.590868415,48,3.314309199,48,10.93722036,48,11.26865128,48,10.27435852,48,10.44007398
50,1.988585519,50,4.109743406,50,2.916592095,50,1.988585519,50,3.480024658,50,11.73265456,50,11.60008219,50,10.93722036,50,10.27435852
52,2.121157887,52,3.977171038,52,3.049164463,52,1.988585519,52,3.314309199,,,52,11.76579765,52,10.7715049,52,10.44007398
54,2.121157887,54,3.977171038,54,3.049164463,54,1.856013151,54,3.314309199,,,54,12.26294403,54,10.93722036,54,10.60578944
56,2.121157887,56,3.977171038,56,3.181736831,56,1.856013151,56,3.645740118,,,56,12.42865949,56,11.10293582,56,10.7715049
58,1.988585519,58,3.977171038,58,3.049164463,58,1.988585519,58,3.480024658,,,58,12.42865949,58,11.26865128,58,10.60578944
60,2.121157887,60,3.977171038,60,3.049164463,60,1.856013151,60,3.480024658,,,60,12.92580587,60,10.93722036,60,10.93722036
62,2.121157887,62,3.977171038,62,3.049164463,62,1.856013151,62,3.314309199,,,,,62,11.10293582,62,11.10293582
64,2.121157887,64,3.977171038,64,3.049164463,64,1.723440783,64,3.314309199,,,,,64,11.43436673,64,11.26865128
66,2.121157887,66,3.977171038,66,3.049164463,66,2.121157887,66,3.480024658,,,,,66,11.93151311,66,11.43436673
68,2.121157887,68,4.109743406,68,3.049164463,68,1.856013151,68,3.480024658,,,,,68,12.09722857,68,11.43436673
70,2.121157887,70,3.977171038,70,2.916592095,70,1.856013151,70,3.314309199,,,,,70,12.09722857,70,11.93151311
72,1.988585519,72,4.109743406,72,3.181736831,72,1.723440783,72,3.480024658,,,,,72,12.09722857,72,11.76579765
