1/27_dfc1 (Time),1/27_dfc1 (Lp/Rp),3_9_dfc1-1 (Time),3_9_dfc1-1 (Lp/Rp),3_9_dfc1-2 (Time),3_9_dfc1-2 (Lp/Rp),3_10_dfc1-2 (Time),3_10_dfc1-2 (Lp/Rp),3_10_dfc1-2 (Time),3_10_dfc1-2 (Lp/Rp),3_5_dfc2-1 (Time),3_5_dfc2-1 (Lp/Rp),3_5_dfc2-2(Time),3_5_dfc2-2 (Lp/Rp),7/6_dfc3 (Time),7/6_dfc3 (Lp/Rp),7/6_dfc4 (Time),7/6_dfc4(Lp/Rp),7/20_dfc1 (Time),7/20_dfc1 (Lp/Rp),7/21_dfc1 (Time),7/21_dfc1 (Lp/Rp),8/5_dfc1 (Time),8/5_dfc1 (Lp/Rp),8/6_dfc1 (Time),8/6_dfc1 (Lp/Rp)
0,2.761924332,0,1.988585519,0,4.198124985,0,2.209539466,0,9.501019702,0,9.545210492,0,10.3406447,0,4.912975988,0,3.392292944,0,4.971463798,0,3.148593739,0,3.977171038,0,4.350030823
2,2.651447359,2,2.872401305,2,4.198124985,2,2.872401305,2,10.38483549,2,9.942927596,2,10.14178615,1,5.029951607,1,3.392292944,1,5.539631089,1,3.314309199,2,3.778312486,2,4.847177203
4,2.872401305,4,3.756217092,4,4.640032878,4,3.535263145,4,10.82674338,4,9.942927596,4,10.53950325,2,5.146927226,2,3.509268563,2,5.681672912,2,3.977171038,4,4.573746694,4,4.971463798
6,3.093355252,6,4.198124985,6,4.419078931,6,4.419078931,6,11.04769733,6,10.3406447,6,10.53950325,3,5.263902845,3,3.626244182,3,6.10779838,3,4.308601958,6,4.573746694,6,5.468610178
8,3.203832225,8,4.860986825,8,5.081940771,8,4.860986825,8,11.48960522,8,10.53950325,8,10.93722036,4,5.380878464,4,3.626244182,4,6.391882026,4,4.640032878,8,5.369180902,8,5.717183367
10,3.314309199,10,5.302894718,10,5.081940771,10,5.081940771,10,11.48960522,10,10.7383618,10,11.13607891,5,5.263902845,5,3.860195419,5,6.675965671,5,4.474317418,10,5.17032235,10,6.587189532
12,2.872401305,12,5.965756557,12,5.302894718,12,5.744802611,12,11.93151311,12,10.3406447,12,10.93722036,6,5.73180532,6,3.860195419,6,6.818007494,6,4.971463798,12,5.965756557,12,6.835762722
14,3.424786172,14,5.965756557,14,5.744802611,14,5.965756557,14,11.71055917,14,10.7383618,14,10.93722036,7,5.848780939,7,4.094146657,7,7.10209114,7,4.971463798,14,5.568039454,14,7.208622507
16,3.203832225,16,6.628618397,16,5.523848664,16,6.186710504,16,11.93151311,16,10.7383618,16,11.13607891,8,5.73180532,8,4.094146657,8,7.244132963,8,4.971463798,16,6.363473661,16,7.457195697
18,3.424786172,18,6.628618397,18,5.523848664,18,6.186710504,18,12.15246706,18,10.93722036,18,11.13607891,9,5.614829701,9,4.211122276,9,7.244132963,9,5.137179258,18,6.363473661,18,7.705768887
20,3.424786172,20,7.07052629,20,5.744802611,20,6.849572344,20,12.15246706,20,10.7383618,20,11.33493746,10,5.73180532,10,4.094146657,10,7.386174785,10,5.137179258,20,6.562332213,20,7.830055482
22,3.314309199,22,7.07052629,22,6.186710504,22,7.291480237,22,12.37342101,22,10.93722036,22,11.13607891,11,5.848780939,11,4.094146657,11,7.528216608,11,5.302894718,22,6.562332213,22,8.078628671
24,3.535263145,24,7.512434183,24,5.523848664,24,7.512434183,24,12.15246706,24,10.93722036,24,11.13607891,12,5.848780939,12,4.094146657,12,7.812300254,12,5.468610178,24,7.158907869,24,8.078628671
26,3.645740118,26,7.954342076,26,5.744802611,26,7.291480237,26,12.37342101,26,10.93722036,26,11.33493746,13,5.73180532,13,4.445073513,13,7.812300254,13,5.468610178,26,7.158907869,26,8.327201861
28,3.424786172,28,7.954342076,28,6.186710504,28,7.512434183,28,12.37342101,28,11.13607891,28,11.33493746,14,5.848780939,14,4.328097895,14,8.096383899,14,5.468610178,28,7.158907869,28,8.575775051
30,3.756217092,30,7.954342076,30,6.40766445,30,7.73338813,30,12.59437495,30,10.93722036,30,11.13607891,15,5.848780939,15,4.445073513,15,7.954342076,15,5.634325638,30,7.158907869,30,9.072921431
32,3.645740118,32,7.954342076,32,6.40766445,32,7.73338813,32,12.59437495,32,11.13607891,32,11.33493746,16,6.082732176,16,4.328097895,16,8.096383899,16,5.634325638,32,7.556624973,32,8.451488456
34,3.535263145,34,8.617203916,34,6.40766445,34,8.39624997,34,12.8153289,34,11.33493746,34,11.33493746,17,5.965756557,17,4.445073513,17,8.096383899,17,5.302894718,34,7.556624973,34,9.072921431
36,3.756217092,36,8.39624997,36,6.628618397,36,8.838157863,36,12.37342101,36,11.13607891,36,11.33493746,18,6.199707795,18,4.328097895,18,7.954342076,18,5.634325638,36,8.153200628,36,9.072921431
38,3.866694065,38,8.617203916,38,6.40766445,38,8.617203916,38,12.59437495,38,11.33493746,38,11.33493746,19,6.082732176,19,4.328097895,19,8.380467545,19,5.800041097,38,7.755483525,38,9.445781216
40,3.977171038,40,8.617203916,40,6.628618397,40,8.617203916,40,13.03628285,40,11.13607891,40,11.53379601,20,6.082732176,20,4.445073513,20,8.66455119,20,5.800041097,40,8.153200628,40,9.445781216
42,3.977171038,42,8.838157863,42,6.849572344,42,9.059111809,42,13.25723679,42,11.33493746,42,11.13607891,21,6.082732176,21,4.445073513,21,9.090676659,21,5.800041097,42,8.550917732,42,9.197208026
44,3.866694065,44,9.059111809,44,7.07052629,44,9.280065756,44,13.03628285,44,11.13607891,44,11.33493746,22,6.082732176,22,4.445073513,22,8.948634836,22,5.800041097,44,8.153200628,44,9.694354406
46,4.198124985,46,9.280065756,46,7.291480237,46,9.501019702,46,13.03628285,46,11.33493746,46,11.53379601,23,6.199707795,23,4.328097895,23,9.232718482,23,5.965756557,46,7.954342076,46,9.818641001
48,3.977171038,48,9.059111809,48,7.291480237,48,9.501019702,48,13.25723679,48,11.33493746,48,11.53379601,24,6.199707795,24,4.562049132,24,9.374760304,24,5.965756557,48,8.35205918,48,9.818641001
50,3.977171038,50,9.280065756,50,6.849572344,50,9.942927596,50,13.25723679,50,11.33493746,50,11.53379601,25,6.199707795,25,4.562049132,25,9.516802127,25,5.965756557,50,8.35205918,50,9.570067811
52,3.977171038,52,9.501019702,52,6.849572344,52,10.16388154,52,13.25723679,52,11.13607891,52,11.73265456,26,6.082732176,26,4.679024751,26,9.65884395,26,5.800041097,52,7.158907869,52,9.942927596
54,4.087648012,54,9.501019702,54,7.291480237,54,10.16388154,54,13.25723679,54,11.53379601,54,11.73265456,27,6.316683414,27,4.679024751,27,9.800885773,27,6.131472017,54,8.550917732,54,9.818641001
56,4.308601958,56,9.721973649,56,7.291480237,56,10.38483549,56,13.47819074,56,11.13607891,56,11.53379601,28,6.199707795,28,4.445073513,28,9.942927596,28,6.131472017,56,8.550917732,56,9.942927596
58,4.198124985,58,10.16388154,58,7.512434183,58,10.60578944,58,13.47819074,58,11.33493746,58,11.73265456,29,6.316683414,29,4.679024751,29,10.08496942,29,5.965756557,58,8.550917732,58,10.06721419
60,4.198124985,60,9.721973649,60,7.512434183,60,10.60578944,60,13.25723679,60,11.13607891,60,11.53379601,30,6.199707795,30,4.679024751,30,10.22701124,30,5.965756557,60,9.147493388,60,10.19150079
62,4.198124985,62,10.16388154,62,7.512434183,62,11.04769733,62,13.47819074,62,11.13607891,62,11.53379601,31,6.199707795,31,4.562049132,31,10.36905306,31,6.297187477,62,9.147493388,62,10.19150079
64,4.419078931,64,10.16388154,64,7.512434183,64,10.82674338,64,13.25723679,64,11.13607891,64,11.73265456,32,6.316683414,32,4.679024751,32,10.65313671,32,6.131472017,64,7.954342076,64,10.44007398
66,4.308601958,66,10.16388154,66,7.512434183,66,11.04769733,66,13.69914469,66,11.13607891,66,11.73265456,33,6.316683414,33,4.562049132,33,10.65313671,33,6.297187477,66,6.960049317,66,10.19150079
68,4.529555905,68,10.38483549,68,7.291480237,68,11.26865128,68,13.69914469,68,11.33493746,68,11.73265456,34,6.433659032,34,4.79600037,34,10.65313671,34,6.297187477,68,9.147493388,68,10.56436057
70,4.087648012,70,10.38483549,70,7.291480237,70,11.48960522,70,13.92009863,70,11.33493746,70,11.73265456,35,6.316683414,35,4.79600037,35,10.93722036,35,6.297187477,70,7.556624973,70,10.44007398
72,4.529555905,72,10.38483549,72,7.512434183,72,11.48960522,72,13.69914469,72,11.33493746,72,11.53379601,36,6.316683414,36,4.79600037,36,10.79517853,36,6.297187477,72,8.749776284,72,10.93722036
74,4.419078931,74,10.60578944,74,7.512434183,74,11.71055917,74,14.14105258,74,11.33493746,74,11.93151311,37,6.433659032,37,4.679024751,37,11.07926218,37,6.462902937,74,7.357766421,74,11.06150695
