1/28_gc1 (Time),1/28_gc1 (Lp/Rp),3/10_gc1-1 (Time),3/10_gc1-1 (Lp/Rp),3/10_gc1-2 (Time),3/10_gc1-2 (Lp/Rp),3/10_gc1-3 (Time),3/10_gc1-3 (Lp/Rp),3/10_gc2-1 (Time),3/10_gc2-1 (Lp/Rp),3/10_gc2-2 (Time),3/10_gc2-2 (Lp/Rp),3/10_gc2-3 (Time),3/10_gc2-3 (Lp/Rp),7/7_gc1(Time),7/7_gc1(Lp/Rp),7/28_gc1-1(Time),7/28_gc1-1(Lp/Rp),7/28_gc1-2(Time),7/28_gc1-2(Lp/Rp),7/28_gc1-3(Time),7/28_gc1-3(Lp/Rp),8/4_gc1(Time),8/4_gc1(Lp/Rp),8/5_gc1(Time),8/5_gc1(Lp/Rp),8/6_gc1(Time),8/6_gc1(Lp/Rp)
0,5.070893074,0,0.4971463798,0,0.4971463798,0,0.3977171038,0,0.6960049317,0,0.9942927596,0,1.193151311,0,1.491439139,0,6.271692791,0,4.436075389,0,6.118724674,0,1.988585519,0,1.846543696,0,6.214329747
1,5.070893074,2,0.9942927596,2,0.8948634836,2,0.4971463798,2,0.6960049317,2,1.093722036,2,1.093722036,1,1.690297691,1,6.424660908,1,5.200915973,1,6.118724674,2,1.856013151,2,1.704501874,2,6.462902937
2,5.269751626,4,1.193151311,4,1.292580587,4,0.8948634836,4,0.8948634836,4,0.9942927596,4,1.093722036,2,1.491439139,2,6.883565258,2,5.812788441,2,6.730597142,4,1.988585519,4,1.846543696,4,6.090043152
3,5.17032235,6,1.392009863,6,1.491439139,6,0.9942927596,6,0.7954342076,6,1.093722036,6,1.093722036,3,1.590868415,3,7.342469609,3,6.271692791,3,6.424660908,6,2.121157887,6,1.846543696,6,6.214329747
4,5.269751626,8,1.590868415,8,1.889156243,8,1.292580587,8,0.7954342076,8,1.093722036,8,1.193151311,4,1.491439139,4,7.495437726,4,6.883565258,4,7.189501492,8,2.253730255,8,1.846543696,8,6.338616342
5,5.468610178,10,1.690297691,10,2.088014795,10,1.491439139,10,0.8948634836,10,1.193151311,10,1.292580587,5,1.690297691,5,8.107310193,5,7.036533375,5,NaN,10,2.253730255,10,1.846543696,10,6.587189532
6,5.667468729,12,1.988585519,12,2.286873347,12,1.690297691,12,0.8948634836,12,1.193151311,12,1.193151311,6,1.690297691,6,9.178087011,6,7.495437726,6,8.26027831,12,2.253730255,12,1.846543696,12,6.214329747
7,5.568039454,14,2.286873347,14,2.585161175,14,1.789726967,14,0.9942927596,14,1.193151311,14,1.193151311,7,1.590868415,7,9.484023245,7,8.413246427,7,9.178087011,14,2.386302623,14,1.704501874,14,6.835762722
8,5.568039454,16,2.386302623,16,2.684590451,16,1.889156243,16,1.093722036,16,1.193151311,16,1.292580587,8,1.690297691,8,9.636991362,8,8.872150778,8,9.331055128,16,2.518874991,16,1.846543696,16,6.462902937
9,5.766898005,18,2.386302623,18,2.784019727,18,1.988585519,18,0.9942927596,18,1.193151311,18,1.193151311,9,1.690297691,9,10.09589571,9,9.178087011,9,9.636991362,18,2.518874991,18,1.846543696,18,6.587189532
