Time,5 Pa,25 Pa,10 Pa,25 Pa,0 Pa
0,5.070893074,2.187444071,5.965756557,6.960049317,9.942927596
1,5.070893074,2.485731899,6.462902937,7.556624973,9.84349832
2,5.269751626,2.585161175,6.661761489,8.053771352,9.744069044
3,5.17032235,2.883449003,6.960049317,8.650347008,9.644639768
4,5.269751626,3.181736831,7.158907869,9.246922664,9.84349832
5,5.468610178,3.281166107,7.258337145,9.744069044,9.744069044
6,5.667468729,3.281166107,7.556624973,9.942927596,9.744069044
7,5.568039454,3.380595383,7.755483525,10.44007398,9.644639768
8,5.568039454,3.380595383,8.053771352,10.7383618,9.644639768
9,5.766898005,3.778312486,8.252629904,,9.545210492
10,5.866327281,3.977171038,8.35205918,,9.445781216
11,5.766898005,3.877741762,8.550917732,,9.545210492
12,5.965756557,3.977171038,8.650347008,,9.445781216
13,5.965756557,4.076600314,9.048064112,,9.545210492
14,5.965756557,4.374888142,9.048064112,,9.545210492
15,6.065185833,4.474317418,9.246922664,,9.545210492
16,6.164615109,4.573746694,9.445781216,,9.545210492
17,6.264044385,4.872034522,9.644639768,,9.34635194
18,6.264044385,4.872034522,9.84349832,,9.445781216
19,6.264044385,4.971463798,9.942927596,,9.445781216
20,6.462902937,5.269751626,10.24121542,,9.445781216
21,6.363473661,5.269751626,10.3406447,,9.445781216
22,6.562332213,5.766898005,10.53950325,,9.246922664
23,6.562332213,5.766898005,10.63893253,,9.246922664
24,6.761190765,5.766898005,10.7383618,,9.34635194
25,6.562332213,6.065185833,10.83779108,,9.246922664
26,6.761190765,5.965756557,11.13607891,,9.34635194
27,6.761190765,5.866327281,11.23550818,,9.445781216
28,6.562332213,6.065185833,11.33493746,,9.246922664
29,6.960049317,5.965756557,11.43436673,,9.246922664
30,6.960049317,6.363473661,11.73265456,,9.34635194
31,6.860620041,6.661761489,11.63322529,,9.147493388
32,7.059478593,6.661761489,11.83208384,,9.147493388
33,6.960049317,6.761190765,11.93151311,,9.048064112
34,7.059478593,6.860620041,12.22980094,,9.147493388
35,7.059478593,7.357766421,12.42865949,,9.048064112
36,7.158907869,7.656054249,12.52808877,,9.147493388
37,7.258337145,7.755483525,12.72694732,,9.147493388
38,7.258337145,8.053771352,12.8263766,,9.147493388
39,7.258337145,8.153200628,12.92580587,,9.147493388
40,7.357766421,8.153200628,13.02523515,,8.948634836
41,7.357766421,8.252629904,13.02523515,,9.147493388
42,7.457195697,8.749776284,,,9.048064112
43,7.457195697,8.650347008,,,9.147493388
44,7.457195697,8.84920556,,,9.048064112
45,7.755483525,9.048064112,,,9.048064112
46,7.656054249,9.246922664,,,9.048064112
47,7.755483525,9.445781216,,,9.048064112
48,7.755483525,9.644639768,,,9.048064112
49,7.755483525,9.744069044,,,8.948634836
50,7.854912801,9.84349832,,,8.84920556
51,7.854912801,9.942927596,,,8.948634836
52,7.854912801,10.04235687,,,9.048064112
53,7.954342076,10.44007398,,,8.948634836
54,7.954342076,10.7383618,,,8.84920556
55,8.053771352,10.83779108,,,9.048064112
56,8.153200628,11.03664963,,,8.948634836
57,8.252629904,11.43436673,,,8.948634836
58,8.153200628,11.23550818,,,8.948634836
59,8.252629904,11.63322529,,,8.948634836
60,8.35205918,11.73265456,,,8.948634836
61,8.35205918,12.13037167,,,8.948634836
62,8.252629904,12.22980094,,,8.84920556
63,8.451488456,12.52808877,,,8.84920556
64,8.650347008,12.62751805,,,8.84920556
65,8.550917732,12.72694732,,,8.749776284
66,8.550917732,12.8263766,,,8.84920556
67,8.650347008,13.2240937,,,8.84920556
68,8.550917732,13.32352298,,,8.84920556
69,8.749776284,13.52238153,,,8.948634836
70,8.84920556,13.72124008,,,8.84920556
71,8.84920556,,,,8.84920556
72,8.749776284,,,,8.749776284
73,8.749776284,,,,8.84920556
74,8.84920556,,,,8.948634836
75,8.84920556,,,,8.749776284
76,8.948634836,,,,8.84920556
77,8.948634836,,,,8.749776284
78,9.147493388,,,,8.749776284
79,9.048064112,,,,8.84920556
80,9.246922664,,,,8.84920556
81,9.246922664,,,,8.550917732
82,9.147493388,,,,8.749776284
83,9.147493388,,,,8.749776284
84,9.445781216,,,,8.650347008
85,9.445781216,,,,8.749776284
86,9.445781216,,,,8.650347008
87,9.545210492,,,,8.650347008
88,9.445781216,,,,8.550917732
89,9.644639768,,,,8.650347008
90,9.644639768,,,,8.650347008
91,,,,,8.650347008
92,,,,,8.650347008
93,,,,,8.650347008
94,,,,,8.749776284
95,,,,,8.650347008
96,,,,,8.749776284
97,,,,,8.749776284
98,,,,,8.650347008
99,,,,,8.749776284
100,,,,,8.650347008
101,,,,,8.650347008
102,,,,,8.650347008
103,,,,,8.550917732
104,,,,,8.550917732
105,,,,,8.550917732
106,,,,,8.650347008
107,,,,,8.550917732
108,,,,,8.550917732
109,,,,,8.550917732
110,,,,,8.650347008
111,,,,,8.650347008
112,,,,,8.650347008
113,,,,,8.650347008
114,,,,,8.550917732
115,,,,,8.550917732
116,,,,,8.550917732
117,,,,,8.550917732
118,,,,,8.451488456
