Time,5 Pa,0 Pa,10 Pa,0 Pa,2.5 Pa
0,1.988585519,12.85951969,4.507460511,13.52238153,4.772605246
2,2.121157887,12.32923022,4.772605245,13.38980916,4.50746051
4,2.386302623,11.79894075,5.435467085,12.99209206,4.242315774
6,2.386302623,11.13607891,6.496046029,12.72694732,4.242315774
8,2.386302623,10.7383618,6.628618397,12.72694732,3.977171038
10,2.386302623,10.47321707,7.158907869,12.19665785,3.84459867
12,2.518874991,10.20807233,,11.93151311,3.977171038
14,2.651447359,9.942927596,,11.79894075,3.579453934
16,2.651447359,9.810355228,,11.53379601,3.712026302
18,2.784019727,9.412638124,,11.40122364,3.712026302
20,2.784019727,9.147493388,,11.26865127,3.579453934
22,3.049164463,9.01492102,,11.40122364,3.446881566
24,2.916592095,8.617203916,,11.26865127,3.446881566
26,2.784019727,7.954342076,,11.00350654,3.314309199
28,2.916592095,7.68919734,,11.00350654,3.314309199
30,2.784019727,7.158907869,,10.47321707,3.049164463
32,3.181736831,6.628618397,,10.3406447,3.314309199
34,3.049164463,6.230901293,,10.20807233,3.181736831
36,3.181736831,6.230901293,,9.942927596,3.181736831
38,3.181736831,5.568039453,,9.67778286,2.916592095
40,3.049164463,5.435467085,,9.810355228,3.314309199
42,3.181736831,5.302894717,,9.412638124,
44,3.181736831,4.772605245,,,
46,3.314309199,4.507460511,,,
48,3.314309199,4.507460511,,,
50,3.314309199,4.374888143,,,
52,3.579453935,4.242315775,,,
54,3.579453935,,,,
56,3.579453935,,,,
58,3.579453935,,,,
60,3.579453935,,,,
62,3.844598671,,,,
64,3.844598671,,,,
66,3.712026303,,,,
68,3.844598671,,,,
70,4.109743407,,,,
72,3.977171039,,,,
74,4.242315775,,,,
76,4.109743407,,,,
78,4.507460511,,,,
80,4.507460511,,,,
82,4.507460511,,,,
84,4.640032877,,,,
86,4.772605245,,,,
88,4.905177613,,,,
90,4.772605245,,,,
92,4.772605245,,,,
94,4.905177613,,,,
96,4.507460511,,,,
98,5.037749981,,,,
100,4.772605245,,,,
102,5.037749981,,,,
104,5.037749981,,,,
106,5.170322349,,,,
108,5.435467085,,,,
110,5.435467085,,,,
112,5.568039453,,,,
114,5.833184189,,,,
116,5.965756557,,,,
118,6.230901293,,,,
120,6.230901293,,,,
122,6.363473661,,,,
124,6.363473661,,,,
126,6.230901293,,,,
128,6.363473661,,,,
130,6.230901293,,,,
132,6.363473661,,,,
134,6.230901293,,,,
136,6.363473661,,,,
138,6.363473661,,,,
140,6.496046029,,,,
142,6.496046029,,,,
144,6.363473661,,,,
146,6.628618397,,,,
148,6.496046029,,,,
150,6.496046029,,,,
152,6.628618397,,,,
154,6.761190765,,,,
156,6.628618397,,,,
158,6.893763133,,,,
160,6.893763133,,,,
162,7.026335501,,,,
164,7.026335501,,,,
166,7.158907869,,,,
168,7.158907869,,,,
170,7.556624972,,,,
172,7.424052605,,,,
174,7.556624972,,,,
176,7.68919734,,,,
178,7.68919734,,,,
180,7.68919734,,,,
182,7.68919734,,,,
184,7.68919734,,,,
186,7.821769708,,,,
188,7.821769708,,,,
190,8.086914444,,,,
192,7.954342076,,,,
194,7.954342076,,,,
196,8.086914444,,,,
198,8.086914444,,,,
200,8.086914444,,,,
202,8.219486812,,,,
204,8.35205918,,,,
206,8.35205918,,,,
208,8.35205918,,,,
210,8.484631548,,,,
212,8.484631548,,,,
214,8.617203916,,,,
216,8.484631548,,,,
218,8.35205918,,,,
220,8.882348652,,,,
222,8.617203916,,,,
224,8.749776284,,,,
226,8.882348652,,,,
228,9.01492102,,,,
230,8.882348652,,,,
232,9.01492102,,,,
234,9.01492102,,,,
236,9.01492102,,,,
238,9.01492102,,,,
240,9.280065756,,,,
242,9.280065756,,,,
