Time,20 Pa,0 Pa,5 Pa,5 Pa
0,1.325723679,4.474317418,2.817162819,3.811455578
2,1.657154599,3.645740118,2.485731899,3.148593739
4,2.485731899,1.160008219,0.8285772996,1.988585519
6,2.817162819,,,1.160008219
8,2.982878279,,,0.4971463798
10,2.982878279,,,
12,2.817162819,,,
14,2.817162819,,,
16,2.982878279,,,
18,2.982878279,,,
20,3.148593739,,,
22,3.148593739,,,
24,3.148593739,,,
26,3.148593739,,,
28,3.314309199,,,
30,3.148593739,,,
32,3.480024658,,,
34,3.480024658,,,
36,3.480024658,,,
38,3.480024658,,,
40,3.480024658,,,
42,3.480024658,,,
44,3.148593739,,,
46,3.314309199,,,
48,3.480024658,,,
50,3.480024658,,,
52,3.314309199,,,
54,3.480024658,,,
56,3.811455578,,,
58,3.645740118,,,
60,3.480024658,,,
62,3.480024658,,,
64,3.480024658,,,
66,3.480024658,,,
68,3.480024658,,,
70,3.314309199,,,
72,3.645740118,,,
74,3.480024658,,,
76,3.645740118,,,
78,3.480024658,,,
80,3.480024658,,,
82,3.314309199,,,
84,3.645740118,,,
86,3.811455578,,,
88,3.645740118,,,
90,3.811455578,,,
92,3.480024658,,,
94,3.645740118,,,
96,3.645740118,,,
98,3.645740118,,,
100,3.480024658,,,
102,3.645740118,,,
104,3.645740118,,,
106,3.645740118,,,
108,3.480024658,,,
110,3.480024658,,,
112,3.480024658,,,
114,3.480024658,,,
116,3.314309199,,,
118,3.314309199,,,
120,3.314309199,,,
122,3.645740118,,,
124,3.645740118,,,
126,3.314309199,,,
128,3.645740118,,,
130,3.314309199,,,
132,3.314309199,,,
134,3.314309199,,,
136,3.480024658,,,
138,3.480024658,,,
140,3.480024658,,,
142,3.314309199,,,
144,3.811455578,,,
146,3.480024658,,,
148,3.645740118,,,
150,3.811455578,,,
152,3.645740118,,,
154,3.480024658,,,
156,3.480024658,,,
158,3.811455578,,,
160,3.645740118,,,
162,3.645740118,,,
164,3.480024658,,,
166,3.645740118,,,
168,3.645740118,,,
170,3.480024658,,,
172,3.314309199,,,
174,3.480024658,,,
176,3.480024658,,,
178,3.645740118,,,
180,3.645740118,,,
182,3.314309199,,,
184,3.977171038,,,
186,3.645740118,,,
188,3.480024658,,,
190,3.977171038,,,
192,3.645740118,,,
194,3.645740118,,,
196,2.651447359,,,
198,3.645740118,,,
200,3.148593739,,,
202,3.811455578,,,
204,3.977171038,,,
206,3.977171038,,,
208,4.142886498,,,
210,3.811455578,,,
212,3.645740118,,,
214,3.977171038,,,
216,3.977171038,,,
218,3.645740118,,,
220,3.811455578,,,
222,3.977171038,,,
224,3.811455578,,,
226,3.480024658,,,
228,3.480024658,,,
230,3.645740118,,,
232,3.811455578,,,
234,3.480024658,,,
236,3.480024658,,,
238,3.811455578,,,
240,3.645740118,,,
242,3.977171038,,,
244,3.480024658,,,
246,3.811455578,,,
248,3.811455578,,,
250,3.811455578,,,
252,3.645740118,,,
254,3.645740118,,,
256,3.148593739,,,
258,3.811455578,,,
260,3.977171038,,,
262,3.645740118,,,
264,3.645740118,,,
266,3.811455578,,,
268,0.9942927596,,,
270,3.811455578,,,
272,3.811455578,,,
274,4.142886498,,,
276,3.811455578,,,
278,4.142886498,,,
280,3.977171038,,,
282,3.811455578,,,
284,4.142886498,,,
286,3.811455578,,,
288,3.977171038,,,
290,4.142886498,,,
292,3.811455578,,,
294,4.142886498,,,
296,3.977171038,,,
298,4.142886498,,,
300,3.977171038,,,
