Time,20 Pa,20 Pa,20 Pa,20 pa,0 Pa,0 Pa,0 Pa,0 Pa,0 Pa,0 Pa
0,4.805748338,3.811455578,3.480024658,3.181736831,10.93722036,15.7098256,14.11895719,17.30069402,15.3121085,13.92009863
2,4.640032878,4.308601958,3.480024658,3.380595383,8.948634836,14.71553284,12.13037167,17.89726967,15.3121085,13.72124008
4,5.800041097,4.805748338,4.142886498,3.380595383,6.960049317,12.92580587,11.13607891,16.90297691,14.51667429,13.32352298
6,5.965756557,4.971463798,4.805748338,3.977171038,5.568039454,12.52808877,9.545210492,15.51096705,14.11895719,13.12466443
8,5.800041097,6.628618397,5.137179258,3.778312486,4.573746694,11.13607891,8.35205918,15.3121085,13.72124008,13.12466443
10,5.634325638,5.965756557,5.302894718,4.573746694,4.17602959,9.34635194,6.960049317,14.91439139,12.72694732,12.72694732
12,6.462902937,6.628618397,5.800041097,NaN,,7.954342076,6.164615109,13.32352298,12.92580587,12.72694732
14,7.125764777,6.960049317,5.800041097,NaN,,7.158907869,5.17032235,13.12466443,11.93151311,12.32923022
16,6.960049317,7.457195697,6.131472017,NaN,,5.965756557,4.374888142,13.52238153,11.73265456,12.13037167
18,7.291480237,7.457195697,6.297187477,5.568039454,,4.573746694,,12.92580587,11.13607891,12.52808877
20,7.788626617,7.125764777,6.462902937,5.965756557,,4.374888142,,12.52808877,10.53950325,12.52808877
22,7.622911157,7.788626617,6.628618397,6.363473661,,,,11.73265456,9.942927596,12.13037167
24,8.285772996,7.954342076,6.960049317,6.562332213,,,,9.744069044,9.545210492,12.52808877
26,8.285772996,7.622911157,7.457195697,6.761190765,,,,10.93722036,9.34635194,12.13037167
28,8.617203916,7.954342076,7.954342076,7.357766421,,,,9.942927596,8.550917732,11.73265456
30,8.617203916,8.617203916,8.285772996,7.954342076,,,,8.749776284,8.550917732,11.73265456
32,9.445781216,9.777212136,8.782919376,8.153200628,,,,8.550917732,8.153200628,12.13037167
34,8.948634836,8.782919376,9.114350296,8.550917732,,,,8.35205918,7.357766421,11.73265456
36,9.114350296,9.777212136,9.777212136,9.147493388,,,,7.357766421,7.556624973,11.53379601
38,9.445781216,9.280065756,9.942927596,9.147493388,,,,7.158907869,6.960049317,11.53379601
40,9.445781216,10.10864306,10.10864306,9.545210492,,,,6.363473661,6.562332213,11.13607891
42,9.777212136,9.777212136,10.27435852,9.942927596,,,,6.363473661,6.562332213,11.53379601
44,10.27435852,10.10864306,10.7715049,10.14178615,,,,5.568039454,6.562332213,11.13607891
46,10.27435852,10.44007398,11.10293582,10.93722036,,,,5.17032235,5.766898005,10.7383618
48,10.44007398,10.27435852,11.26865128,10.93722036,,,,4.573746694,5.369180902,10.93722036
50,10.27435852,10.93722036,11.60008219,11.73265456,,,,4.573746694,5.369180902,11.53379601
52,10.44007398,10.7715049,11.76579765,,,,,3.380595383,4.971463798,10.3406447
54,10.60578944,10.93722036,12.26294403,,,,,,,10.7383618
56,10.7715049,11.10293582,12.42865949,,,,,,,10.7383618
58,10.60578944,11.26865128,12.42865949,,,,,,,10.7383618
60,10.93722036,10.93722036,12.92580587,,,,,,,10.53950325
62,11.10293582,11.10293582,,,,,,,,10.7383618
64,11.26865128,11.43436673,,,,,,,,10.7383618
66,11.43436673,11.93151311,,,,,,,,10.53950325
68,11.43436673,12.09722857,,,,,,,,10.3406447
70,11.93151311,12.09722857,,,,,,,,10.53950325
72,11.76579765,12.09722857,,,,,,,,10.3406447
74,11.76579765,12.09722857,,,,,,,,10.3406447
76,12.09722857,12.42865949,,,,,,,,10.53950325
78,12.09722857,12.92580587,,,,,,,,10.3406447
80,12.42865949,12.59437495,,,,,,,,10.14178615
82,,,,,,,,,,10.3406447
84,,,,,,,,,,9.942927596
86,,,,,,,,,,10.14178615
88,,,,,,,,,,10.3406447
90,,,,,,,,,,9.942927596
92,,,,,,,,,,10.14178615
