Time,20 Pa,20 Pa,7.5 Pa
0,2.518874991,1.060578944,3.314309199
2,2.518874991,1.060578944,2.784019727
4,2.784019727,1.325723679,2.784019727
6,2.784019727,1.325723679,2.518874991
8,2.916592095,1.325723679,2.651447359
10,2.784019727,1.458296047,2.386302623
12,2.916592095,1.590868415,2.386302623
14,2.916592095,1.458296047,2.518874991
16,3.049164463,1.458296047,2.386302623
18,3.049164463,1.458296047,2.386302623
20,3.049164463,1.458296047,2.386302623
22,3.049164463,1.458296047,2.386302623
24,2.784019727,1.458296047,2.253730255
26,2.916592095,1.590868415,2.121157887
28,2.784019727,1.590868415,2.253730255
30,3.181736831,1.590868415,2.253730255
32,2.916592095,1.723440783,2.253730255
34,3.049164463,1.723440783,2.121157887
36,2.916592095,1.458296047,1.856013151
38,2.916592095,1.723440783,1.856013151
40,2.916592095,1.590868415,1.988585519
42,3.049164463,1.723440783,
44,3.049164463,1.723440783,
46,3.181736831,1.723440783,
48,3.049164463,1.590868415,
50,2.916592095,1.988585519,
52,3.049164463,1.988585519,
54,3.049164463,1.856013151,
56,3.181736831,1.856013151,
58,3.049164463,1.988585519,
60,3.049164463,1.856013151,
62,3.049164463,1.856013151,
64,3.049164463,1.723440783,
66,3.049164463,2.121157887,
68,3.049164463,1.856013151,
70,2.916592095,1.856013151,
72,3.181736831,1.723440783,
74,2.916592095,1.723440783,
76,3.181736831,2.121157887,
78,2.916592095,1.856013151,
80,3.181736831,1.988585519,
82,3.049164463,1.988585519,
84,2.916592095,1.856013151,
86,3.049164463,2.121157887,
88,3.049164463,1.988585519,
90,3.049164463,2.121157887,
92,2.916592095,1.988585519,
94,3.181736831,1.988585519,
96,2.916592095,1.988585519,
98,3.049164463,1.988585519,
100,3.049164463,2.121157887,
102,3.181736831,1.988585519,
104,2.916592095,2.121157887,
106,3.049164463,1.988585519,
108,3.049164463,2.121157887,
110,3.049164463,2.121157887,
112,3.049164463,2.253730255,
114,3.181736831,1.988585519,
116,3.049164463,2.121157887,
118,3.181736831,2.121157887,
120,3.181736831,2.121157887,
122,3.049164463,2.253730255,
124,3.181736831,2.121157887,
126,3.181736831,2.253730255,
128,3.181736831,1.988585519,
130,3.049164463,2.121157887,
132,3.181736831,2.121157887,
134,3.181736831,2.121157887,
136,3.181736831,2.121157887,
138,3.181736831,2.121157887,
140,3.181736831,2.121157887,
142,3.049164463,2.121157887,
144,3.049164463,2.121157887,
146,3.049164463,2.121157887,
148,3.049164463,2.253730255,
150,3.049164463,2.121157887,
152,3.049164463,2.121157887,
154,3.049164463,2.121157887,
156,3.049164463,2.121157887,
158,3.049164463,2.121157887,
160,3.049164463,2.253730255,
162,3.049164463,2.253730255,
164,3.049164463,2.121157887,
166,3.049164463,2.386302623,
168,3.181736831,2.386302623,
170,3.181736831,2.518874991,
172,3.314309199,2.518874991,
174,3.049164463,2.386302623,
176,3.181736831,2.386302623,
178,3.181736831,2.386302623,
180,3.049164463,2.386302623,
182,3.181736831,2.253730255,
184,3.049164463,2.651447359,
186,3.181736831,2.386302623,
188,3.181736831,2.518874991,
190,3.181736831,2.386302623,
192,3.049164463,2.386302623,
194,3.181736831,2.518874991,
196,3.181736831,2.386302623,
198,3.049164463,2.386302623,
200,3.314309199,2.386302623,
202,3.181736831,2.518874991,
204,3.181736831,2.518874991,
206,3.049164463,2.518874991,
208,3.181736831,2.518874991,
210,3.049164463,2.386302623,
212,3.049164463,2.651447359,
214,3.181736831,2.386302623,
216,3.049164463,2.518874991,
218,3.181736831,2.518874991,
220,3.049164463,2.518874991,
222,3.181736831,2.386302623,
224,3.181736831,2.386302623,
226,3.181736831,2.518874991,
228,3.181736831,2.386302623,
230,3.049164463,2.651447359,
232,3.181736831,2.518874991,
234,3.049164463,2.518874991,
236,3.314309199,2.518874991,
238,3.181736831,2.518874991,
240,3.181736831,2.518874991,
242,3.181736831,2.518874991,
244,3.181736831,2.518874991,
246,3.314309199,2.518874991,
248,3.181736831,2.651447359,
250,3.181736831,2.518874991,
252,3.049164463,2.518874991,
254,3.181736831,2.651447359,
256,3.181736831,2.518874991,
258,3.049164463,2.518874991,
260,3.314309199,2.518874991,
262,3.049164463,2.518874991,
264,3.446881566,2.518874991,
266,3.181736831,2.784019727,
